"Prenom";"Nom";"SamAccountName";"Email";"Password";"Groupe";"OUPath";"Categorie";"HeuresConnexion"
"Marie";"Thomas";"marie.thomas1";"marie.thomas1@mediaschool.local";"Dic{MUL;nV%j";"cp-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Jean";"Thomas";"jean.thomas2";"jean.thomas2@mediaschool.local";"Dic{MUL;nV%j";"cp-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Vincent";"camille.vincent3";"camille.vincent3@mediaschool.local";"Dic{MUL;nV%j";"cp-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Vincent";"laura.vincent1";"laura.vincent1@mediaschool.local";"Dic{MUL;nV%j";"ce1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Bertrand";"sarah.bertrand2";"sarah.bertrand2@mediaschool.local";"Dic{MUL;nV%j";"ce1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"FranÃ§ois";"Robert";"franã§ois.robert3";"franã§ois.robert3@mediaschool.local";"Dic{MUL;nV%j";"ce1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"David";"camille.david1";"camille.david1@mediaschool.local";"Dic{MUL;nV%j";"ce2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Philippe";"Roux";"philippe.roux2";"philippe.roux2@mediaschool.local";"Dic{MUL;nV%j";"ce2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"Thomas";"michel.thomas3";"michel.thomas3@mediaschool.local";"Dic{MUL;nV%j";"ce2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Dubois";"laura.dubois1";"laura.dubois1@mediaschool.local";"Dic{MUL;nV%j";"cm1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Robert";"alexandre.robert2";"alexandre.robert2@mediaschool.local";"Dic{MUL;nV%j";"cm1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"David";"isabelle.david3";"isabelle.david3@mediaschool.local";"Dic{MUL;nV%j";"cm1-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"Fournier";"isabelle.fournier1";"isabelle.fournier1@mediaschool.local";"Dic{MUL;nV%j";"cm2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Fournier";"laura.fournier2";"laura.fournier2@mediaschool.local";"Dic{MUL;nV%j";"cm2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"Thomas";"david.thomas3";"david.thomas3@mediaschool.local";"Dic{MUL;nV%j";"cm2-simone-veil";"OU=simone-veil,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Bertrand";"laura.bertrand1";"laura.bertrand1@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Garcia";"thomas.garcia2";"thomas.garcia2@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Lefebvre";"sarah.lefebvre3";"sarah.lefebvre3@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"David";"michel.david1";"michel.david1@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
